cg00050873	0.79878	0.80042	0.815	0.78578	0.79764	0.8022	0.40122	0.38869	0.41433	0.38949	0.85959	0.54095	0.85149	0.84046	0.59761	0.81527	0.60894	0.85273	0.83235	0.81189	0.71886	0.55662	0.82465	0.64759	0.49967	0.46692	0.81963	0.8076	0.82433	0.83744	0.87888	0.8221	0.41182	0.86004	0.86891	0.77252	0.84384	0.54671	0.51039	0.4847	0.88171	0.33103	0.47764	0.87466	0.54254	0.46263	0.84751	0.58589	0.86243	0.64461
cg00212031	0.038359	0.057902	0.05207	0.055856	0.047775	0.22401	0.44863	0.41689	0.49968	0.23129	0.067826	0.37053	0.059699	0.048481	0.47445	0.075132	0.23848	0.10992	0.068411	0.063935	0.32728	0.44877	0.046525	0.50131	0.27661	0.41845	0.075913	0.092223	0.062759	0.067674	0.056752	0.046529	0.55971	0.069337	0.041902	0.38188	0.06691	0.41279	0.44543	0.49801	0.03018	0.38404	0.52088	0.027311	0.47735	0.44851	0.085465	0.53622	0.060679	0.51111
cg00213748	0.80009	0.67941	0.68013	0.72413	0.63555	0.69328	0.36696	0.41086	0.21203	0.43494	0.7875	0.52237	0.69966	0.72601	0.52586	0.66938	0.23167	0.68831	0.60243	0.66652	0.63704	0.5737	0.64509	0.4881	0.57324	0.30568	0.67086	0.60417	0.82764	0.76603	0.74557	0.74127	0.3215	0.79001	0.74047	0.30828	0.77167	0.37129	0.45882	0.52034	0.68	0.39006	0.49637	0.617	0.4186	0.54228	0.59661	0.45007	0.78458	0.51631
cg00214611	0.03366	0.063721	0.052842	0.048707	0.091266	0.070223	0.43103	0.38691	0.48871	0.50529	0.021798	0.47638	0.051802	0.047116	0.53676	0.032406	0.53872	0.061042	0.052681	0.03697	0.034918	0.48375	0.045742	0.53855	0.55001	0.62704	0.049889	0.054322	0.037105	0.044676	0.070209	0.050743	0.53536	0.043557	0.070691	0.30996	0.047999	0.3728	0.42846	0.6872	0.06863	0.44091	0.46638	0.045595	0.54685	0.43487	0.052777	0.4765	0.071232	0.47866
cg00455876	0.74446	0.70052	0.66445	0.68308	0.73804	0.70634	0.3417	0.26827	0.22351	0.29625	0.76543	0.2392	0.73553	0.72208	0.29635	0.72324	0.26813	0.73354	0.77752	0.74955	0.68249	0.40669	0.702	0.39406	0.42026	0.30696	0.67447	0.77643	0.67818	0.69595	0.7238	0.68454	0.38614	0.70054	0.6115	0.29006	0.77118	0.2227	0.30237	0.48886	0.73095	0.24108	0.35938	0.68304	0.28231	0.20874	0.7453	0.3939	0.83817	0.27774
cg01707559	0.10021	0.1463	0.16204	0.10295	0.13707	0.13071	0.39797	0.34514	0.21877	0.25711	0.10237	0.27201	0.12404	0.14556	0.2601	0.23276	0.18722	0.15488	0.089271	0.17466	0.17248	0.27929	0.10093	0.23322	0.30443	0.20879	0.22676	0.23158	0.075572	0.12309	0.10139	0.1402	0.25122	0.14966	0.10707	0.33137	0.1022	0.34858	0.35242	0.35591	0.088782	0.27071	0.23499	0.24686	0.3198	0.25043	0.31015	0.21858	0.18411	0.55225
cg02004872	0.03406	0.036346	0.048042	0.017725	0.046911	0.027216	0.40946	0.4716	0.12082	0.23158	0.02325	0.24445	0.019498	0.022282	0.26076	0.032199	0.1715	0.035711	0.031337	0.037402	0.036343	0.20839	0.019232	0.30344	0.35605	0.1743	0.037429	0.045198	0.022481	0.012396	0.029166	0.028222	0.23032	0.024865	0.021906	0.18589	0.01448	0.22006	0.23277	0.31888	0.059787	0.13136	0.13828	0.014742	0.14405	0.10961	0.023967	0.15319	0.031101	0.30142
cg02011394	0.96332	0.95248	0.95877	0.94607	0.94774	0.97507	0.46656	0.41361	0.41577	0.44162	0.97825	0.264	0.97378	0.97042	0.58661	0.98183	0.60176	0.96596	0.9627	0.97203	0.91284	0.53127	0.97373	0.66955	0.545	0.47173	0.9684	0.96512	0.97149	0.97555	0.96884	0.96462	0.43807	0.97904	0.98439	0.74308	0.96046	0.43682	0.28404	0.44879	0.98333	0.53862	0.5949	0.97804	0.56048	0.4487	0.97384	0.64061	0.96121	0.59193
cg02050847	0.92618	0.95399	0.94191	0.95458	0.95009	0.94525	0.56138	0.34019	0.24839	0.17058	0.95937	0.43774	0.95632	0.96207	0.52429	0.96983	0.35869	0.951	0.96909	0.95636	0.95931	0.48133	0.97083	0.55205	0.50473	0.49657	0.9464	0.94791	0.96945	0.97299	0.96221	0.95573	0.39984	0.96705	0.97347	0.32846	0.9656	0.34622	0.34915	0.37216	0.97107	0.40153	0.29324	0.96677	0.19699	0.3381	0.96963	0.26791	0.97422	0.35491
cg02233190	0.04245	0.07836	0.064936	0.046831	0.059279	0.031419	0.35791	0.42433	0.35301	0.43383	0.096206	0.39543	0.047235	0.027694	0.27747	0.20294	0.14016	0.11826	0.072311	0.046518	0.032038	0.40396	0.091473	0.39308	0.40664	0.35807	0.037721	0.094774	0.044867	0.070673	0.024977	0.050576	0.28481	0.029159	0.033684	0.18967	0.0194	0.24815	0.28581	0.17972	0.035234	0.21817	0.16358	0.018993	0.2541	0.19199	0.039599	0.20613	0.037795	0.38058
